Pathway,Decription,Pvalue,Genes,"k,T,m,q"
cme00750,Vitamin B6 metabolism,1.0,[],-1 1449 32 7
cme00760,Nicotinate and nicotinamide metabolism,1.0,[],-1 1449 32 14
cme00770,Pantothenate and CoA biosynthesis,0.2358678934488393,['CYME_CMR121C'],0 1449 32 12
cme00780,Biotin metabolism,1.0,[],-1 1449 32 9
cme00785,Lipoic acid metabolism,1.0,[],-1 1449 32 5
cme00790,Folate biosynthesis,1.0,[],-1 1449 32 15
cme00860,Porphyrin and chlorophyll metabolism,8.385690190797371e-07,"['CYME_CMJ054C', 'CYME_CMG217C', 'CYME_CMO212C', 'CYME_CMN338C', 'CYME_CMJ154C', 'CYME_CME194C', 'CYME_CMP285C']",6 1449 32 27
cme00900,Terpenoid backbone biosynthesis,0.3621310218826832,['CYME_CMJ154C'],0 1449 32 20
cme00906,Carotenoid biosynthesis,1.0,[],-1 1449 32 5
cme00909,Sesquiterpenoid and triterpenoid biosynthesis,1.0,[],-1 1449 32 2
cme00910,Nitrogen metabolism,1.0,[],-1 1449 32 8
cme00920,Sulfur metabolism,1.0,[],-1 1449 32 15
cme00940,Phenylpropanoid biosynthesis,1.0,[],-1 1449 32 12
cme00950,Isoquinoline alkaloid biosynthesis,1.0,[],-1 1449 32 6
cme00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",1.0,[],-1 1449 32 7
cme00966,Glucosinolate biosynthesis,1.0,[],-1 1449 32 3
cme01040,Biosynthesis of unsaturated fatty acids,1.0,[],-1 1449 32 7
cme01100,Metabolic pathways,0.00011982212357585234,"['CYME_CMR052C', 'CYME_CMR121C', 'CYME_CMF098C', 'CYME_CMF117C', 'CYME_CMP078C', 'CYME_CMO139C', 'CYME_CMJ054C', 'CYME_CMI196C', 'CYME_CMT305C', 'CYME_CML194C', 'CYME_CMC009C', 'CYME_CMK098C', 'CYME_CMG217C', 'CYME_CMI162C', 'CYME_CMT384C', 'CYME_CMO212C', 'CYME_CMS413C', 'CYME_CMS299C', 'CYME_CME095C', 'CYME_CML055C', 'CYME_CMN338C', 'CYME_CMT459C', 'CYME_CMJ154C', 'CYME_CME194C', 'CYME_CMQ436C', 'CYME_CMP285C']",25 1449 32 702
cme01110,Biosynthesis of secondary metabolites,0.0005328045707880071,"['CYME_CMR121C', 'CYME_CMF098C', 'CYME_CMJ054C', 'CYME_CMT305C', 'CYME_CML194C', 'CYME_CMK098C', 'CYME_CMG217C', 'CYME_CMI162C', 'CYME_CMT384C', 'CYME_CMO212C', 'CYME_CMS413C', 'CYME_CMS299C', 'CYME_CMN338C', 'CYME_CMJ154C', 'CYME_CME194C', 'CYME_CMQ436C', 'CYME_CMP285C']",16 1449 32 363
cme01200,Carbon metabolism,0.0003848111938769284,"['CYME_CMF098C', 'CYME_CMF117C', 'CYME_CMI196C', 'CYME_CMC009C', 'CYME_CMK098C', 'CYME_CMI162C', 'CYME_CMS299C', 'CYME_CME095C', 'CYME_CMQ436C']",8 1449 32 110
cme01210,2-Oxocarboxylic acid metabolism,0.45583064567246906,['CYME_CMR121C'],0 1449 32 27
cme01212,Fatty acid metabolism,0.11057896181555195,"['CYME_CMS299C', 'CYME_CMT459C']",1 1449 32 26
cme01230,Biosynthesis of amino acids,0.44335644533953883,"['CYME_CMR121C', 'CYME_CMT305C', 'CYME_CMI162C']",2 1449 32 110
cme01240,Biosynthesis of cofactors,0.056431041182368455,"['CYME_CMJ054C', 'CYME_CMT384C', 'CYME_CMS413C', 'CYME_CML055C', 'CYME_CME194C', 'CYME_CMP285C']",5 1449 32 128
